,*,E390,
,die,E181,
,different,ecff,
,difficult,E093,
,dignify,e04b,
,Diklah,e1ac,Gen  10:27
,Dilean,e4c0,
,Dimonah,e4c1,
,Dinah,efb7,Gen 30:21
,Dinhabah_city,efed,Gen 36:32
,Dionysius,Eb78,Acts 17:34
,Diotrephes,ece2,3 John 1:9
,direction,E323,
,dirt,E15b,
,dirty,E249,
,disciple,E142,
,discipline,eda5,
,discourage,E261,
,disease,E20A,
,dish,E384,
,Dishan,e1ec,Gen 36:21
,Dishon,efee,Gen 36:21
,disobedience,E193,
,disobey,E193,
,divide,E326,
,division,E326,
,divorce,EA3D,
,Dizahab,e481,Deut 1:1
,do,E08C,
,doctor,E144,
,Dodanim,edcf,Gen  10:4
,Dodo,e51d,
,Doeg,e460,1 Sam 21:7
,dog,E104,
,dominion,E032,
,donkey,Ea09,
,door,E23E,
,Dophkah,e3dd,Num 33:12
,Dor,e43f,Josh11:2
,Dorcas,Ec2c,Acts 9:36
,Dothan,efa3,Gen 37:17
,doubt,E194,
,dough,EA36,
,dove,E25E,
,down,E319,
,dragon,ecdf,
,dream,EA80,
,drink,E274,
,drum,Ebe3,
,drunk,EA8D,
,Drusilla,Eb9c,Acts 24:24
,dry,E188,
,Dumah,eefd,Gen 25:14
,dust,E15D,
,dwell,E17B,
,eagle,ecc9,
,ear,E299,
,earn,E0f5,
,earth,E153,
,earthquake,E159,
,east,EA38,
,easy,E092,
,eat,E053,
,Ebal,efef,Gen 36:23
,Eber_land,e497,Num 24:24
,Eber_man,Ec5a,Gen 10:21
,Eden_garden,edd2,Gen  2:8
,Eden_man,e1e9,2 Chr 29:12
,Eder,e4c2,
,Edom_land,e1a7,Gen 32:3
,Edom_man,e1a6,Gen 25:30
,Edrei,e474,Josh 19:37
,egg,e482,
,Eglon,e42e,Josh 10:3
,Egypt,EA44,Matt 2:13
,Ehi,efb8,Gen 46:21
,eight,E293,
,Ekron,e455,Jos 13:3
,El,edd3,Gen 35:17
,El_Elohe,e1e4,Gen 33:20
,Elah,e1a9,Gen  36:41
,Elam_land,Eb6d,Gen 14:1
,Elam_man,edd4,Gen 10:22
,Elath,e498,Deut 2:8
,Eldaah,e1e3,Gen 25:4
,Eldad,e2b4,Num 11:26
,elder,Eb62,
,Elealeh,e3ca,Num 32:3
,Eleazar,EA70,Exod 6:23
,elect,Ec9f,
,Eli,Ec44,1 Sam 1:3
,Eliab,e2b5,Num 1:9
,Eliakim,EA6B,Matt 1:13
,Eliasaph,e2b6,Num 1:14
,Elidad,e3e4,Num 34:21
,Eliezer,Ec5b,Gen 15:2
,Elihu,e4e9,
,Elijah,E36A,1 Kgs 17:1
,Elim,e0ca,Exod 15:27
,Elimelek,e41e,Ruth 1:2
,Eliphaz,eff1,Gen 36:4
,Elisha,Ec5c,1 Kgs 19:16
,Elishah,ec5c,Gen 10:4
,Elishama,e2b7,Num 1:10
,Elisheba,e3b5,Exod 6:23
,Eliud,EA6F,Matt 1:14
,Elizabeth,Ec3a,Luke 1:5
,Elizaphan,e2b8,Num 3:30
,Elizur,e1fa,Num 1:5
,Elkanah,e2c0,Exod 6:24
,Elkosh,e378,
,Ellasar,edd6,Gen 14:1
,Elmadam,Ec5d,Luke 3:28
,Elon,edd7,Gen 26:34
,Eltekeh,e4fa,
,Eltekon,e4c3,
,Eltolad,e4c4,
,Elzaphan,e2f0,Exod 6:22
,Emites,efa8,Gen 14:5
,Emmaus,Ec5e,Luke 24:13
,Emmor,eb5d,Acts 7:16
,empty,E277,
,En_Gannim,e4fb,
,En_Gedi,e4c5,
,En_Rogel,e4b1,
,En_Shemesh,e4c6,
,Enaim,efb9,Gen 38:14
,Enam,e4c7,
,Enan,e2b9,Num 1:15
,encourage,E262,
,end,E232,
,Endor,e467,Josh 17:11
,endure,E170,
,enemy,E025,
,enmity,E01B,
,Enoch,Ec5f,Gen 4:17
,Enos,Ec60,Luke 3:38
,Enosh,Ec60,Gen 4:26
,enter,E242,
,envy,E022,
,Epaenetus,ebc1,Rom 16:5
,Epaphras,ece4,Col 1:7
,Epaphroditus,ece4,Phil 2:25
,Ephah,e1ad,Gen 25:4
,Epher,eefe,Gen 25:4
,Ephesus,Ec0c,Acts 18:19
,Ephod,e475,Num 34:23
,Ephraim_land,Eba4,2 Chr 30:10
,Ephraim_man,Eba3,Gen 41:52
,Ephrath,efba,Gen 35:16
,Ephron,eeff,Gen 23:8
,Epicurean,Ec05,Acts 17:18
,equal,E24B,
,Er,Ec61,Gen 38:3
,Eran,e3aa,Num 26:36
,Erastus,Ec0e,Acts 19:22
,Erech,edd9,Gen 10:10
,Eri,e1ae,Gen 46:16
,Esau,Ebc2,Gen 25:25
,Esek,edda,Gen 26:20
,Eshan,e4c8,
,Eshban,eff2,Gen 36:26
,Eshkol_land,e3cb,Num 13:23
,Eshkol_man,eddb,Gen 14:13
,Eshtaol,e4c9,
,Eshtemoa,e4fc,
,Eshtemoh,e4ca,
,Esli,Ec49,Luke 3:25
,Esther,e49f,Esth 2:7
,eternal,E252,
,eternity,E252,
,Etham,e2c2,Exod 13:20
,Ether,e4cb,
,Ethiopia,Ec32,Acts 8:27
,Eubulus,ecb3,2 Tim 4:21
,Eunice,ecb4,2 Tim 1:5
,eunuch,Eb8f,
,Euodia,ece5,Phil 4:2
,Euphrates_River,Ecd8,Rev. 9:14
,Eutychus,Eb1f,Acts  20:9
,evangelist,E13F,
,Eve,Ebeb,Gen 3:20
,evening,E273,
,everyone,E140,
,everything,E114,
,everywhere,E155,
,Evi,e3c2,Num 31:8
,exalt,E04b,
,example,Ecf0,
,explain,E059,
,explanation,E059,
,eye,E238,
,Ezbon,e1aa,Gen 46:16
,Ezem,e508,
,Ezer,e1ab,Gen 36:21
,Ezion_Geber,e3e9,Num 33:35
,fabric,E253,
,face,E203,
,Fair_Haven,Ec18,Acts 27:8
,faith,E06F,
,faithful,E219,
,faithfulness,E219,
,fall,E218,
,false,E17F,
,family,E176,
,famine,E18D,
,far,E197,
,farewell,Ec83,
,farm,Eb91,
,farmer,E133,
,fast_no_eat,E18E,
,fast_speed,E21A,
,fat,EA86,
,fat_animal,Eb11,
,father,E003,
,fear,E056,
,feast,E054,
,Felix,Eb99,Acts 23:24
,festival,E20B,
,few,E19B,
,field,Eb91,
,fig,eda2,
,fight,E283,
,fill,E278,
,find,E101,
,finger,Eba5,
,finish,E232,
,fire,E301,
,first,E233,
,fish,E263,
,fisherman,E264,
,five,E290,
,fix,E09D,
,flesh,E26B,
,flip,E31D,
,flood,ece0,
,flour,EA35,
,flower,Eb24,
,flute,EA8B,
,fly,E25B,
,follow,E13E,
,food,E053,
,fool,EA7C,
,foot,E13D,
,for,E086,
,foreigner,E158,
,foreknowledge,Eb79,
,forest,Ec27,
,forgive,E18F,
,forgiveness,E18F,
,Fortunatus,eca4,1 Cor 16:17
,forward,E318,
,foundation,E179,
,four,E28F,
,fox,EA8A,
,fragrant,E097,
,free,E260,
,free_no_cost,Ebe4,
,Freedmen,Ec8e,Acts 6:9
,freedom,E260,
,friend,E024,
,frog,ecf6,
,from,E31A,
,fruit,E27E,
,fulfill,E0d2,
,full,E276,
,futile,E190,
,future,E16E,
,Gaash,e4fd,
,Gabriel,Ec39,Luke 1:19
,Gad,Ecbd,Gen 46:16
,Gadara,E33f,Matt 8:28
,Gaddi,e2ba,Num 13:11
,Gaddiel,e2bb,Num 13:10
,Gaham,efbb,Gen 22:24
,gain,E1a3,
,Gaius,Ec0f,Acts 19:29
,Galatia,EB46,Acts 16:6
,Galeed,efbc,Gen 31:47
,Galilee,E337,Josh 20:7
,Gallio,Eb3b,Acts 18:12
,Gamaliel,Eb4d,Acts 5:34
,garden,eddc,
,Gatam,eff3,Gen 36:11
,gate,E289,
,Gath,e461,1 Sam 21:10
,Gath_Rimmon,e4fe,
,gathered,e108,
,gathered_people,E126,
,gathered_things,E108,
,Gaza,Eb7f,Gen 10:19
,Geba,e4ff,
Ԫ,Gedaliah,52a,
,Geder,e440,Josh 12:13
,Gemalli,e2bc,Num 13:12
,generation,E019,
,Gennesaret,E341,Matt 14:34
,gentile,E158,Matt 4:15
,gentle,E26D,
,gentleness,E26D,
